ZONA,COBROS (RD$ MM),MES,AÑO
Zona 5 - Barahona,162.6145418,Julio,2023
Zona 1 - Distrito,2350.401648,Agosto,2023
Zona 2 - San Cristóbal,1290.693311,Agosto,2023
Zona 3 - Baní,294.3762526,Agosto,2023
Zona 4 - San Juan,116.1991469,Agosto,2023
Zona 5 - Barahona,162.6413199,Agosto,2023
Zona 1 - Distrito,2306.303396,Septiembre,2023
Zona 2 - San Cristóbal,1298.682368,Septiembre,2023
Zona 3 - Baní,298.2075171,Septiembre,2023
Zona 4 - San Juan,125.7533129,Septiembre,2023
Zona 5 - Barahona,167.7603323,Septiembre,2023
Zona 1 - Distrito,2376.810152,Octubre,2023
Zona 2 - San Cristóbal,1340.407152,Octubre,2023
Zona 3 - Baní,286.1902524,Octubre,2023
Zona 4 - San Juan,122.7045909,Octubre,2023
Zona 5 - Barahona,167.7554652,Octubre,2023
Zona 1 - Distrito,2361.75326,Noviembre,2023
Zona 2 - San Cristóbal,1302.553208,Noviembre,2023
Zona 3 - Baní,284.2148196,Noviembre,2023
Zona 4 - San Juan,118.261034,Noviembre,2023
Zona 5 - Barahona,172.8337127,Noviembre,2023
Zona 1 - Distrito,2340.289545,Diciembre,2023
Zona 2 - San Cristóbal,1306.589752,Diciembre,2023
Zona 3 - Baní,285.5355636,Diciembre,2023
Zona 4 - San Juan,115.7044352,Diciembre,2023
Zona 5 - Barahona,159.7623057,Diciembre,2023
Zona 1 - Distrito,1986.682157,Enero,2024
Zona 2 - San Cristóbal,1146.633581,Enero,2024
Zona 3 - Baní,263.0410289,Enero,2024
Zona 4 - San Juan,111.1800546,Enero,2024
Zona 5 - Barahona,146.777956,Enero,2024
Zona 1 - Distrito,1892.18352,Febrero,2024
Zona 2 - San Cristóbal,1057.82271,Febrero,2024
Zona 3 - Baní,253.7894009,Febrero,2024
Zona 4 - San Juan,104.8536928,Febrero,2024
Zona 5 - Barahona,142.6303366,Febrero,2024
Zona 1 - Distrito,1929.556657,Marzo,2024
Zona 2 - San Cristóbal,1134.008833,Marzo,2024
Zona 3 - Baní,273.0504312,Marzo,2024
Zona 4 - San Juan,103.3449735,Marzo,2024
Zona 5 - Barahona,151.5411859,Marzo,2024
Zona 1 - Distrito,1977.357924,Abril,2024
Zona 2 - San Cristóbal,1152.598418,Abril,2024
Zona 3 - Baní,277.5001161,Abril,2024
Zona 4 - San Juan,114.7033699,Abril,2024
Zona 5 - Barahona,154.9435595,Abril,2024
Zona 1 - Distrito,2100.610028,Mayo,2024
Zona 2 - San Cristóbal,1233.716861,Mayo,2024
Zona 3 - Baní,289.5278925,Mayo,2024
Zona 4 - San Juan,122.6051896,Mayo,2024
Zona 5 - Barahona,160.9612608,Mayo,2024
Zona 1 - Distrito,2108.542716,Junio,2024
Zona 2 - San Cristóbal,1223.631301,Junio,2024
Zona 3 - Baní,278.8682433,Junio,2024
Zona 4 - San Juan,118.740025,Junio,2024
Zona 5 - Barahona,158.6356498,Junio,2024
Zona 1 - Distrito,2384.945807,Julio,2024
Zona 2 - San Cristóbal,1232.838743,Julio,2024
Zona 3 - Baní,295.7508016,Julio,2024
Zona 4 - San Juan,133.9559679,Julio,2024
Zona 5 - Barahona,169.7393107,Julio,2024
Zona 1 - Distrito,2355.143267,Agosto,2024
Zona 2 - San Cristóbal,1276.158579,Agosto,2024
Zona 3 - Baní,295.1760902,Agosto,2024
Zona 4 - San Juan,127.9799488,Agosto,2024
Zona 5 - Barahona,164.600994,Agosto,2024
Zona 1 - Distrito,2294.255091,Septiembre,2024
Zona 2 - San Cristóbal,1281.157527,Septiembre,2024
Zona 3 - Baní,298.336006,Septiembre,2024
Zona 4 - San Juan,127.6277813,Septiembre,2024
Zona 5 - Barahona,167.0030477,Septiembre,2024
Zona 1 - Distrito,2476.580611,Octubre,2024
Zona 2 - San Cristóbal,1410.162973,Octubre,2024
Zona 3 - Baní,319.4183744,Octubre,2024
Zona 4 - San Juan,142.6453228,Octubre,2024
Zona 5 - Barahona,190.0024474,Octubre,2024
Zona 1 - Distrito,2374.00572,Noviembre,2024
Zona 2 - San Cristóbal,1301.289723,Noviembre,2024
Zona 3 - Baní,311.2685684,Noviembre,2024
Zona 4 - San Juan,130.3682732,Noviembre,2024
Zona 5 - Barahona,174.0995307,Noviembre,2024
Zona 1 - Distrito,2336.796086,Diciembre,2024
Zona 2 - San Cristóbal,1250.395038,Diciembre,2024
Zona 3 - Baní,289.9658321,Diciembre,2024
Zona 4 - San Juan,125.4663979,Diciembre,2024
Zona 5 - Barahona,168.845413,Diciembre,2024
Zona 1 - Distrito,2070.058163,Enero,2025
Zona 2 - San Cristóbal,1174.688809,Enero,2025
Zona 3 - Baní,284.5208968,Enero,2025
Zona 4 - San Juan,127.7811549,Enero,2025
Zona 5 - Barahona,174.3045226,Enero,2025
Zona 1 - Distrito,1845.663054,Febrero,2025
Zona 2 - San Cristóbal,1068.061766,Febrero,2025
Zona 3 - Baní,265.4780417,Febrero,2025
Zona 4 - San Juan,112.5268388,Febrero,2025
Zona 5 - Barahona,155.4223135,Febrero,2025
Zona 1 - Distrito,2044.006216,Marzo,2025
Zona 2 - San Cristóbal,1220.26378,Marzo,2025
Zona 3 - Baní,290.7746291,Marzo,2025
Zona 4 - San Juan,117.6383889,Marzo,2025
Zona 5 - Barahona,167.9414141,Marzo,2025
Zona 1 - Distrito,1974.890876,Abril,2025
Zona 2 - San Cristóbal,1191.243672,Abril,2025
Zona 3 - Baní,287.5724715,Abril,2025
Zona 4 - San Juan,125.7503461,Abril,2025
Zona 5 - Barahona,165.321712,Abril,2025
Zona 1 - Distrito,2055.640006,Mayo,2025
Zona 2 - San Cristóbal,1210.383784,Mayo,2025
Zona 3 - Baní,307.6849315,Mayo,2025
Zona 4 - San Juan,129.5355316,Mayo,2025
Zona 5 - Barahona,181.4728226,Mayo,2025
Zona 1 - Distrito,2073.149507,Junio,2025
Zona 2 - San Cristóbal,1261.681222,Junio,2025
Zona 3 - Baní,312.460088,Junio,2025
Zona 4 - San Juan,131.3280336,Junio,2025
Zona 5 - Barahona,192.1257155,Junio,2025
Zona 1 - Distrito,2326.388035,Julio,2025
